Insertion_Date,Report_Narrative,Indicator_IP,Ref_ID,Threat_Family,Source_Platform
2025-10-20 00:03:48,User user_a authenticated successfully via service 8005.,203.0.113.5,4183,Network_Conn,Firewall
2025-10-20 00:05:08,User guest_ext authenticated successfully via service 8381.,192.168.1.9,4708,Network_Conn,SIEM
2025-10-20 00:02:36,"Inbound email flagged as spear phishing, potentially delivering Clop.",192.168.1.9,6746,Email_Blocked,SIEM
2025-10-20 00:06:35,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by WIZARD SPIDER source.,192.168.1.7,2785,Vulnerability_Scan,Proxy
2025-10-20 00:04:00,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by FIN7 source.,192.168.1.1,1433,Vulnerability_Scan,EDR
2025-10-20 00:06:45,"Inbound email flagged as spear phishing, potentially delivering QakBot.",203.0.113.2,1369,Email_Blocked,Proxy
2025-10-20 00:04:06,User svc_account authenticated successfully via service 8449.,203.0.113.3,6305,Network_Conn,Firewall
2025-10-20 00:04:09,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,203.0.113.3,6455,Vulnerability_Scan,SIEM
2025-10-20 00:02:48,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,192.168.1.8,1961,Vulnerability_Scan,Proxy
2025-10-20 00:04:15,User guest_ext authenticated successfully via service 8620.,203.0.113.1,1688,Network_Conn,Firewall
2025-10-20 00:01:26,User user_a authenticated successfully via service 8518.,203.0.113.3,6807,Auth_Fail,EDR
2025-10-20 00:07:15,User user_a authenticated successfully via service 8631.,203.0.113.5,6136,Auth_Fail,Firewall
2025-10-20 00:07:20,Suspicious activity: APT29 executed LockBit malware. File hash is 72c7fde4ac0251b1.,203.0.113.1,3361,File_Write,Proxy
2025-10-20 00:05:56,User svc_account authenticated successfully via service 8884.,203.0.113.2,8273,Network_Conn,Firewall
2025-10-20 00:07:30,User user_a authenticated successfully via service 8894.,192.168.1.8,9547,Auth_Fail,Proxy
2025-10-20 00:04:33,User user_a authenticated successfully via service 8915.,192.168.1.6,8761,Network_Conn,EDR
2025-10-20 00:03:04,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Mustang Panda source.,203.0.113.5,1437,Vulnerability_Scan,SIEM
2025-10-20 00:06:12,User guest_ext authenticated successfully via service 8314.,192.168.1.3,6988,Auth_Fail,Firewall
2025-10-20 00:07:50,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 00473b47eae2d1a9.,203.0.113.5,2184,File_Write,SIEM
2025-10-20 00:06:20,Suspicious activity: APT29 executed Clop malware. File hash is f3f2edfe4d993d69.,192.168.1.10,9112,File_Write,EDR
2025-10-20 00:08:00,"Inbound email flagged as spear phishing, potentially delivering QakBot.",192.168.1.6,4166,Email_Blocked,SIEM
2025-10-20 00:01:37,Suspicious activity: Mustang Panda executed Emotet malware. File hash is 4ac89aac9727b750.,192.168.1.5,6515,File_Write,EDR
2025-10-20 00:03:16,User svc_account authenticated successfully via service 8450.,192.168.1.3,5361,Network_Conn,Firewall
2025-10-20 00:03:18,User user_a authenticated successfully via service 8906.,203.0.113.2,5362,Network_Conn,Proxy
2025-10-20 00:08:20,User admin_corp authenticated successfully via service 8329.,192.168.1.4,8418,Network_Conn,Firewall
2025-10-20 00:08:25,User svc_account authenticated successfully via service 8346.,203.0.113.2,1963,Network_Conn,SIEM
2025-10-20 00:03:24,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",192.168.1.7,4406,Email_Blocked,Firewall
2025-10-20 00:01:43,User admin_corp authenticated successfully via service 8334.,192.168.1.8,1325,Auth_Fail,Proxy
2025-10-20 00:06:56,"Inbound email flagged as spear phishing, potentially delivering QakBot.",203.0.113.3,6709,Email_Blocked,Firewall
2025-10-20 00:07:00,User user_a authenticated successfully via service 8853.,192.168.1.9,7572,Network_Conn,Firewall
2025-10-20 00:05:18,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,192.168.1.5,9148,Vulnerability_Scan,SIEM
2025-10-20 00:08:55,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,192.168.1.8,3359,Vulnerability_Scan,Firewall
2025-10-20 00:05:24,Suspicious activity: Mustang Panda executed LockBit malware. File hash is 38e1c0428d6395c8.,192.168.1.3,2970,File_Write,SIEM
2025-10-20 00:01:49,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",203.0.113.2,5551,Email_Blocked,EDR
2025-10-20 00:09:10,User admin_corp authenticated successfully via service 8016.,192.168.1.10,6532,Network_Conn,SIEM
2025-10-20 00:07:24,User admin_corp authenticated successfully via service 8684.,203.0.113.2,2802,Network_Conn,Firewall
2025-10-20 00:07:28,User user_a authenticated successfully via service 8717.,192.168.1.8,7418,Auth_Fail,Firewall
2025-10-20 00:09:25,"Inbound email flagged as spear phishing, potentially delivering LockBit.",192.168.1.10,6818,Email_Blocked,Firewall
2025-10-20 00:05:42,User admin_corp authenticated successfully via service 8505.,203.0.113.1,3630,Auth_Fail,SIEM
2025-10-20 00:07:40,"Inbound email flagged as spear phishing, potentially delivering QakBot.",192.168.1.10,6279,Email_Blocked,EDR
2025-10-20 00:07:44,User guest_ext authenticated successfully via service 8167.,192.168.1.3,3450,Auth_Fail,SIEM
2025-10-20 00:07:48,"Inbound email flagged as spear phishing, potentially delivering QakBot.",192.168.1.8,6163,Email_Blocked,Proxy
2025-10-20 00:01:58,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Mustang Panda source.,192.168.1.5,8943,Vulnerability_Scan,EDR
2025-10-20 00:01:59,Suspicious activity: Mustang Panda executed TrickBot malware. File hash is 1ee371f30bea3db4.,192.168.1.1,3754,File_Write,Firewall
2025-10-20 00:08:00,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by APT29 source.,203.0.113.3,3093,Vulnerability_Scan,Proxy
2025-10-20 00:04:02,"Inbound email flagged as spear phishing, potentially delivering LockBit.",203.0.113.5,2357,Email_Blocked,EDR
2025-10-20 00:06:06,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by WIZARD SPIDER source.,192.168.1.1,6696,Vulnerability_Scan,EDR
2025-10-20 00:04:06,User admin_corp authenticated successfully via service 8044.,192.168.1.9,8757,Auth_Fail,Firewall
2025-10-20 00:08:16,User guest_ext authenticated successfully via service 8982.,192.168.1.6,2013,Auth_Fail,SIEM
2025-10-20 00:08:20,User guest_ext authenticated successfully via service 8021.,192.168.1.4,5112,Network_Conn,Proxy
2025-10-20 00:02:06,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,203.0.113.1,5575,Vulnerability_Scan,SIEM
2025-10-20 00:06:21,Suspicious activity: FIN7 executed QakBot malware. File hash is a7e6f17fa44bf919.,192.168.1.6,2076,File_Write,Proxy
2025-10-20 00:02:08,Suspicious activity: FIN7 executed Emotet malware. File hash is 8c9fbceffd30c662.,192.168.1.1,4501,File_Write,SIEM
2025-10-20 00:02:09,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Mustang Panda source.,192.168.1.1,5770,Vulnerability_Scan,EDR
2025-10-20 00:08:40,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Mustang Panda source.,192.168.1.1,2311,Vulnerability_Scan,EDR
2025-10-20 00:06:33,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by APT29 source.,192.168.1.9,2619,Vulnerability_Scan,EDR
2025-10-20 00:02:12,User guest_ext authenticated successfully via service 8152.,203.0.113.3,4233,Auth_Fail,EDR
2025-10-20 00:08:52,Suspicious activity: APT29 executed Emotet malware. File hash is 6092bb77b1d42160.,192.168.1.8,1505,File_Write,SIEM
2025-10-20 00:11:10,User admin_corp authenticated successfully via service 8218.,192.168.1.3,7574,Auth_Fail,Proxy
2025-10-20 00:02:15,"Inbound email flagged as spear phishing, potentially delivering Clop.",203.0.113.5,8273,Email_Blocked,Proxy
2025-10-20 00:04:32,Suspicious activity: Mustang Panda executed TrickBot malware. File hash is bc115c6357ab624c.,192.168.1.2,7227,File_Write,Firewall
2025-10-20 00:06:51,Suspicious activity: WIZARD SPIDER executed QakBot malware. File hash is d9007353d19f3e57.,203.0.113.1,9947,File_Write,EDR
2025-10-20 00:04:36,User admin_corp authenticated successfully via service 8313.,203.0.113.1,3843,Network_Conn,SIEM
2025-10-20 00:09:16,"Inbound email flagged as spear phishing, potentially delivering LockBit.",192.168.1.8,3529,Email_Blocked,EDR
2025-10-20 00:07:00,User user_a authenticated successfully via service 8029.,203.0.113.3,2389,Network_Conn,Proxy
2025-10-20 00:04:42,"Inbound email flagged as spear phishing, potentially delivering Clop.",192.168.1.7,3270,Email_Blocked,Firewall
2025-10-20 00:11:50,User svc_account authenticated successfully via service 8265.,192.168.1.1,2548,Auth_Fail,SIEM
2025-10-20 00:07:09,User user_a authenticated successfully via service 8069.,192.168.1.4,9230,Network_Conn,Firewall
2025-10-20 00:02:24,"Inbound email flagged as spear phishing, potentially delivering Emotet.",203.0.113.5,6580,Email_Blocked,Firewall
2025-10-20 00:09:40,Suspicious activity: Mustang Panda executed TrickBot malware. File hash is c5572c712ee69971.,192.168.1.9,2206,File_Write,EDR
2025-10-20 00:09:44,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",203.0.113.3,9132,Email_Blocked,Firewall
2025-10-20 00:02:27,Suspicious activity: Mustang Panda executed LockBit malware. File hash is 9c5b610fd2b13823.,192.168.1.7,8993,File_Write,Firewall
2025-10-20 00:12:20,"Inbound email flagged as spear phishing, potentially delivering Clop.",192.168.1.9,6172,Email_Blocked,Firewall
2025-10-20 00:07:27,User svc_account authenticated successfully via service 8610.,192.168.1.6,9323,Auth_Fail,Proxy
2025-10-20 00:05:00,Suspicious activity: Mustang Panda executed LockBit malware. File hash is 35bd7d9510db3f23.,192.168.1.3,6395,File_Write,SIEM
2025-10-20 00:07:33,User svc_account authenticated successfully via service 8103.,192.168.1.5,5142,Auth_Fail,SIEM
2025-10-20 00:10:08,User admin_corp authenticated successfully via service 8924.,203.0.113.5,7001,Auth_Fail,EDR
2025-10-20 00:07:39,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,192.168.1.10,1253,Vulnerability_Scan,Proxy
2025-10-20 00:05:08,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is 3f065ef1a26eec84.,203.0.113.3,1827,File_Write,Proxy
2025-10-20 00:05:10,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 1e70c49ac62fe32f.,192.168.1.6,2375,File_Write,Proxy
2025-10-20 00:07:48,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,192.168.1.2,6844,Vulnerability_Scan,EDR
2025-10-20 00:02:37,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,192.168.1.5,1132,Vulnerability_Scan,Firewall
2025-10-20 00:07:54,User guest_ext authenticated successfully via service 8267.,192.168.1.2,5321,Network_Conn,Firewall
2025-10-20 00:02:39,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,203.0.113.3,1460,Vulnerability_Scan,Firewall
2025-10-20 00:08:00,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is dc724264129615a2.,192.168.1.8,5574,File_Write,Firewall
2025-10-20 00:13:25,"Inbound email flagged as spear phishing, potentially delivering Clop.",192.168.1.1,7107,Email_Blocked,Proxy
2025-10-20 00:02:42,User guest_ext authenticated successfully via service 8758.,203.0.113.2,9856,Auth_Fail,Firewall
2025-10-20 00:10:52,User admin_corp authenticated successfully via service 8378.,203.0.113.4,4059,Auth_Fail,SIEM
2025-10-20 00:02:44,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,192.168.1.10,2571,Vulnerability_Scan,SIEM
2025-10-20 00:02:45,"Inbound email flagged as spear phishing, potentially delivering QakBot.",203.0.113.1,5900,Email_Blocked,EDR
2025-10-20 00:08:18,"Inbound email flagged as spear phishing, potentially delivering Clop.",192.168.1.2,4380,Email_Blocked,EDR
2025-10-20 00:08:21,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",192.168.1.1,3196,Email_Blocked,Firewall
2025-10-20 00:14:00,User svc_account authenticated successfully via service 8283.,192.168.1.6,8617,Auth_Fail,EDR
2025-10-20 00:05:38,User guest_ext authenticated successfully via service 8800.,192.168.1.9,2326,Network_Conn,SIEM
2025-10-20 00:08:30,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,192.168.1.2,1071,Vulnerability_Scan,Firewall
2025-10-20 00:14:15,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,192.168.1.1,7532,Vulnerability_Scan,EDR
2025-10-20 00:11:28,"Inbound email flagged as spear phishing, potentially delivering Emotet.",203.0.113.3,6520,Email_Blocked,SIEM
2025-10-20 00:14:25,Suspicious activity: APT29 executed TrickBot malware. File hash is b4cd157605f81266.,203.0.113.2,9369,File_Write,SIEM
2025-10-20 00:05:48,User guest_ext authenticated successfully via service 8698.,203.0.113.3,2454,Auth_Fail,Proxy
2025-10-20 00:14:35,User admin_corp authenticated successfully via service 8881.,203.0.113.1,4231,Auth_Fail,EDR
2025-10-20 00:14:40,User guest_ext authenticated successfully via service 8178.,192.168.1.4,8593,Auth_Fail,EDR
2025-10-20 00:14:45,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by FIN7 source.,203.0.113.5,6796,Vulnerability_Scan,Firewall
2025-10-20 00:05:56,User guest_ext authenticated successfully via service 8372.,192.168.1.4,5275,Network_Conn,EDR
2025-10-20 00:05:58,"Inbound email flagged as spear phishing, potentially delivering LockBit.",192.168.1.9,3667,Email_Blocked,Proxy
2025-10-20 00:06:00,"Inbound email flagged as spear phishing, potentially delivering Emotet.",192.168.1.6,7510,Email_Blocked,EDR
2025-10-20 00:06:02,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,192.168.1.8,1231,Vulnerability_Scan,EDR
2025-10-20 00:06:04,User svc_account authenticated successfully via service 8571.,192.168.1.3,1607,Auth_Fail,SIEM
2025-10-20 00:03:03,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Mustang Panda source.,192.168.1.5,8448,Vulnerability_Scan,EDR
2025-10-20 00:09:12,Suspicious activity: WIZARD SPIDER executed LockBit malware. File hash is 6c6cce57e3996a99.,192.168.1.9,3468,File_Write,EDR
2025-10-20 00:09:15,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",192.168.1.5,1140,Email_Blocked,SIEM
2025-10-20 00:12:24,Suspicious activity: Lazarus Group executed QakBot malware. File hash is 3141ca5e49f81510.,203.0.113.5,1209,File_Write,SIEM
2025-10-20 00:06:14,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,192.168.1.3,7617,Vulnerability_Scan,Firewall
2025-10-20 00:03:08,"Inbound email flagged as spear phishing, potentially delivering Clop.",203.0.113.1,1950,Email_Blocked,SIEM
2025-10-20 00:06:18,User guest_ext authenticated successfully via service 8567.,203.0.113.2,7765,Network_Conn,SIEM
2025-10-20 00:06:20,User user_a authenticated successfully via service 8581.,203.0.113.1,3114,Auth_Fail,SIEM
2025-10-20 00:15:55,"Inbound email flagged as spear phishing, potentially delivering LockBit.",203.0.113.1,6228,Email_Blocked,SIEM
2025-10-20 00:06:24,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,192.168.1.6,8304,Vulnerability_Scan,EDR
2025-10-20 00:16:05,User admin_corp authenticated successfully via service 8798.,192.168.1.5,2065,Auth_Fail,EDR
2025-10-20 00:12:56,User guest_ext authenticated successfully via service 8619.,192.168.1.4,5339,Network_Conn,SIEM
2025-10-20 00:13:00,"Inbound email flagged as spear phishing, potentially delivering LockBit.",203.0.113.2,5418,Email_Blocked,Proxy
2025-10-20 00:03:16,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by APT29 source.,203.0.113.3,4002,Vulnerability_Scan,EDR
2025-10-20 00:13:08,"Inbound email flagged as spear phishing, potentially delivering Clop.",203.0.113.3,2454,Email_Blocked,Proxy
2025-10-20 00:13:12,User user_a authenticated successfully via service 8967.,192.168.1.9,7671,Network_Conn,Firewall
2025-10-20 00:09:57,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",192.168.1.8,7088,Email_Blocked,Firewall
2025-10-20 00:03:20,Suspicious activity: APT29 executed QakBot malware. File hash is 4f5e96eb94d72969.,192.168.1.9,3874,File_Write,EDR
2025-10-20 00:06:42,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is 5f38f193908136b0.,203.0.113.1,8019,File_Write,SIEM
2025-10-20 00:16:50,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,192.168.1.2,6332,Vulnerability_Scan,SIEM
2025-10-20 00:06:46,Suspicious activity: WIZARD SPIDER executed TrickBot malware. File hash is 195a2f4a699b2077.,203.0.113.3,3232,File_Write,EDR
2025-10-20 00:03:24,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is ec6b7c25d5537420.,203.0.113.2,6009,File_Write,Firewall
2025-10-20 00:17:05,User guest_ext authenticated successfully via service 8308.,192.168.1.10,8593,Auth_Fail,SIEM
2025-10-20 00:06:52,User svc_account authenticated successfully via service 8103.,192.168.1.5,5253,Auth_Fail,SIEM
2025-10-20 00:13:48,User guest_ext authenticated successfully via service 8730.,203.0.113.3,4695,Auth_Fail,Proxy
